addressDetailEn,addressDetailTh,addressEn,addressTh,branchNameEn,branchNameTh,districtEn,districtTh,faxExt,faxTh,latitude,longtitude,provinceNameEn,provinceNameTh,subDistrictEn,subDistrictTh,telExt,telTh,timeEn,timeTh,timeWeekendEn,timeWeekendTh,workingHourEn,workingHourTh,workingHourWeekendEn,workingHourWeekendTh,zipCode,code,mobile,branchType
,"84/8, 84/9 หมู่ที่ 2",,"84/8, 84/9 หมู่ที่ 2 ตำบลบ้านกร่าง อำเภอกงไกรลาศ จังหวัดสุโขทัย 64170",,กงไกรลาส (สุโขทัย),,กงไกรลาส,,055-615-567,16.951964,99.973456,,สุโขทัย,,บ้านกร่าง,,055-615-566,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-318,063-905-5333,SOMWANG
,"521/4 ,521/5 หมู่ที่ 17",,"521/4 ,521/5 หมู่ที่ 17 ตำบลเมืองเก่า อำเภอกบินทร์บุรี จังหวัดปราจีนบุรี 25240",,กบินทร์บุรี,,กบินทร์บุรี,,037-210-159,13.983378,101.764997,,ปราจีนบุรี,,เมืองเก่า,,037-210-158,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-242,063-9050666,SOMWANG
,205/20 หมู่ที่ 2,,205/20 หมู่ที่ 2 ตำบลคลองมะเดื่อ อำเภอกระทุ่มแบน จังหวัดสมุทรสาคร 74110,,กระทุ่มแบน,,กระทุ่มแบน,,034-460-049,13.654445,100.273962,,สมุทรสาคร,,คลองมะเดื่อ,,034-460-050,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-127,090-9806000,SOMWANG
,171 หมู่ที่11,,171 หมู่ที่11 ตำบลหนองโก อำเภอกระนวน จังหวัดขอนแก่น 40170,,กระนวน,,กระนวน,,043-252-832,16.703423,103.080394,,ขอนแก่น,,หนองโก,,043-252-833,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-047,084-3658000,SOMWANG
,17/108 หมู่ที่ 6,,17/108 หมู่ที่ 6 ตำบลกะทู้ อำเภอกะทู้ จังหวัดภูเก็ต 83120,,กะทู้ (ภูเก็ต),,กะทู้,,076-530-681,7.910564,98.335436,,ภูเก็ต,,กะทู้,,076-530-680,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-254,091-889-3444,SOMWANG
,739/14-15 หมู่ที่ 8,,739/14-15 หมู่ที่ 8 ตำบลน้ำอ้อม อำเภอกันทรลักษ์ จังหวัดศรีสะเกษ 33110,,กันทรลักษ์,,กันทรลักษ์,,045-661-008,14.646622,104.64194,,ศรีสะเกษ,,น้ำอ้อม,,045-661-007,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-133,091-8896000,SOMWANG
,84/11 หมู่ที่ 6,,84/11 หมู่ที่ 6 ตำบลดูน อำเภอกันทรารมย์ จังหวัดศรีสะเกษ 33130,,กันทรารมย์ (ศรีสะเกษ),,กันทรารมย์,,045-651-113,15.09986,104.576916,,ศรีสะเกษ,,ดูน,,045-651-112,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-350,063-906-0444,SOMWANG
,34/19 หมู่ที่ 8,,34/19 หมู่ที่ 8 ตำบลกะแดะ อำเภอกาญจนดิษฐ์ จังหวัดสุราษฎร์ธานี 84160,,กาญจนดิษฐ์,,กาญจนดิษฐ์,,077-379-127,9.16355,99.478996,,สุราษฎร์ธานี,,กะแดะ,,077-379-126,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-120,091-7743000,SOMWANG
,160/48 ถนนแสงชูโต,,160/48 ถนนแสงชูโต ตำบลบ้านเหนือ อำเภอเมืองกาญจนบุรี จ.กาญจนบุรี 71000,,กาญจนบุรี,,เมืองกาญจนบุรี,,034-511-943,14.02038,99.533225,,กาญจนบุรี,,บ้านเหนือ,,034-511-944,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-132,091-7749000,SOMWANG
,1/8-9 ถนนถีนานนท์,,1/8-9 ถนนถีนานนท์ ตำบลกาฬสินธุ์ อำเภอเมืองกาฬสินธุ์ จังหวัดกาฬสินธุ์ 46000,,กาฬสินธุ์,,เมืองกาฬสินธุ์,,043-813-402,16.433493,103.511617,,กาฬสินธุ์,,กาฬสินธุ์,,043-813-401,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-064,086-2208000,SOMWANG
,175 ถนนบำรุงราษฎร์,,175 ถนนบำรุงราษฎร์ ตำบลในเมือง อำเภอเมือง จังหวัดกำแพงเพชร 62000,,กำแพงเพชร,,กำแพงเพชร,,055-712-334,16.471695,99.53326,,กำแพงเพชร,,ในเมือง,,055-712-335,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-012,084-8265000,SOMWANG
,78/1 หมู่ที่ 13,,78/1 หมู่ที่ 13 ตำบลเมืองเพีย อำเภอกุดจับ จังหวัดอุดรธานี 41250,,กุดจับ (อุดรธานี),,กุดจับ,,042-217-502,17.421173,102.565131,,อุดรธานี,,เมืองเพีย,,042-217-501,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-298,091-889-6622,SOMWANG
,111/1-2 หมู่ที่ 1,,111/1-2 หมู่ที่ 1 ตำบลกุมภวาปี อำเภอกุมภวาปี จังหวัดอุดรธานี 41110,,กุมภวาปี,,กุมภวาปี,,042-334-638,17.110928,103.012371,,อุดรธานี,,กุมภวาปี,,042-334-637,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-125,090-9902000,SOMWANG
